docID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
2417,17,7.78,99,1,20.23,5.67,11.76,82.35,58.82,47.06,17.65,11.76,0,0,5.88,0,5.88,5.88,11.76,5.88,0,0,11.76,0,11.76,0,23.53,0,0,0,0,0,0,23.53,0,23.53,5.88,0,17.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,23.53,5.88,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0,17.65,11.76,0,5.88,0,0,0
2418,20,26.1,89.5,98.38,20.23,20,20,90,65,45,20,15,5,0,5,5,0,5,5,0,5,10,0,0,15,0,20,0,0,5,0,5,0,30,0,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,10,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0
2419,9,66.04,1,77.17,20.23,9,11.11,77.78,55.56,55.56,0,0,0,0,0,0,0,0,11.11,0,0,22.22,11.11,0,0,22.22,11.11,0,0,11.11,0,0,11.11,33.33,11.11,22.22,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0
2420,3,10.19,40.06,1,20.23,3,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,63,70.33,40.06,1.7,1,15.75,23.81,76.19,60.32,50.79,4.76,0,0,0,0,0,0,4.76,15.87,6.35,1.59,12.7,9.52,1.59,11.11,1.59,15.87,6.35,4.76,3.17,0,0,3.17,12.7,1.59,11.11,0,4.76,6.35,0,0,0,0,9.52,1.59,7.94,4.76,0,4.76,0,0,0,0,3.17,1.59,0,0,0,0,1.59,1.59,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,1.59,3.17,1.59,0,0,0,0,0,0,0,0,6.35,12.7,0,1.59,7.94,0,0,3.17,3.17,0,7.94,0,0,0,0,0,0,11.11,6.35,4.76,0,0,0,0
2422,35,72.76,92.91,1,20.23,8.75,14.29,80,68.57,57.14,8.57,8.57,0,0,0,8.57,0,0,20,14.29,8.57,8.57,17.14,2.86,2.86,0,22.86,17.14,8.57,2.86,0,2.86,0,0,0,0,0,0,0,0,0,0,0,5.71,2.86,2.86,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,11.43,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,2.86,2.86,0,2.86,8.57,0,5.71,2.86,0,0,0,0,17.14,2.86,0,0,0,0,0,0,14.29,11.43,0,0,0,2.86,0
2423,34,1,1,1,20.23,6.8,14.71,76.47,64.71,58.82,8.82,2.94,0,0,2.94,0,0,5.88,8.82,0,0,5.88,17.65,8.82,11.76,11.76,23.53,2.94,0,2.94,0,0,2.94,35.29,2.94,32.35,0,17.65,11.76,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,5.88,2.94,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,2.94,0,0,2.94,0,0,0,0,0,14.71,0,0,0,0,0,0,23.53,5.88,0,0,8.82,8.82,0
2424,42,18.12,4.61,1,99,10.5,14.29,83.33,66.67,61.9,14.29,9.52,4.76,0,0,4.76,0,4.76,9.52,4.76,0,14.29,14.29,4.76,11.9,2.38,16.67,2.38,2.38,11.9,4.76,11.9,0,21.43,0,21.43,2.38,4.76,4.76,2.38,0,7.14,0,9.52,9.52,0,4.76,4.76,0,0,0,0,0,14.29,7.14,0,0,0,2.38,0,4.76,0,0,4.76,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,4.76,2.38,0,0,0,0,0,0,11.9,9.52,0,0,0,2.38,0
2425,85,5.51,2.18,38.22,9.05,21.25,12.94,87.06,80,65.88,10.59,3.53,1.18,1.18,0,0,1.18,7.06,12.94,5.88,0,8.24,16.47,4.71,14.12,5.88,30.59,1.18,2.35,2.35,1.18,0,1.18,22.35,2.35,20,2.35,1.18,7.06,3.53,0,8.24,0,1.18,0,1.18,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,4.71,1.18,2.35,0,2.35,0,0,0,0,0,0,8.24,9.41,0,2.35,9.41,0,0,0,0,7.06,2.35,0,0,0,0,0,0,4.71,4.71,0,0,0,0,0
2426,52,2.59,1,99,49.66,17.33,15.38,82.69,76.92,57.69,15.38,15.38,15.38,0,0,0,0,0,5.77,1.92,1.92,7.69,11.54,7.69,15.38,1.92,28.85,1.92,1.92,5.77,3.85,3.85,0,23.08,1.92,21.15,0,3.85,11.54,3.85,0,5.77,0,1.92,1.92,0,1.92,1.92,0,0,0,0,0,3.85,1.92,0,0,0,0,0,1.92,1.92,0,1.92,0,1.92,0,0,1.92,1.92,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,1.92,3.85,17.31,1.92,13.46,5.77,1.92,0,0,3.85,3.85,3.85,0,0,0,0,0,0,11.54,1.92,5.77,0,3.85,0,0
